id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
1,POP-TOR21,WSZYSTKO ZA 5 ZŁ,Toruń,torun,Dziewulskiego,kujawsko-pomorskie,87-100,23A,53.02874,18.67282,0
2,POP-TOR25,DROGERIA JAŚMIN,Toruń,torun,Szosa Lubicka ,kujawsko-pomorskie,87-100,168A,53.02658,18.682,0
3,POP-TOR27,LOMBARD ,Toruń,torun,Targowa,kujawsko-pomorskie,87-100,44,53.0236777,18.6339936,0
4,POP-TOR31,SHIP CENTER,Toruń,torun,Mickiewicza,kujawsko-pomorskie,87-100,61,53.0122451,18.5821658,0
5,POP-TOR33,SPAR,Toruń,torun,Legionów,kujawsko-pomorskie,87-100,216F,53.03291,18.60216,0
6,POP-TOR37,STACJA CIRCLE K,Toruń,torun,Szosa Lubicka,kujawsko-pomorskie,87-100,62,53.02217,18.65569,0
7,POP-TOR38,FURGONETKA LOOKCENTER PRO,Toruń,torun,Wodociągowa,kujawsko-pomorskie,87-100,3,53.02611,18.59091,0
8,POP-TOR39,VANGELIS,Toruń,torun,Mohna ,kujawsko-pomorskie,87-100,34,53.03224,18.59569,0
9,POP-TOR40,SKLEP ODIDO,Toruń,torun,Kołłątaja ,kujawsko-pomorskie,87-100,10F,53.02328,18.60026,0
10,POP-TOR41,EPAKA,Toruń,torun,Dziewulskiego ,kujawsko-pomorskie,87-100,39C,53.0285,18.67933,0
11,POP-WRO103,SKALA,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-011,49,51.10205,17.03539,0
12,POP-WRO111,VAPE SHOP,Wrocław,wroclaw,Wesoła,dolnośląskie,50-535,40,51.09081,17.03868,0
13,POP-WRO112,VAPE SHOP,Wrocław,wroclaw,Jedności Narodowej,dolnośląskie,50-258,54,51.11867,17.03839,0
14,POP-WRO114,SKLEP PAPIERNICZY PROPEC,Wrocław,wroclaw,Piotra Norblina,dolnośląskie,51-664,36,51.1029159,17.1096245,0
15,POP-WRO120,SKLEP PAPIERNICZY TOPOFFICE,Wrocław ,wroclaw,Komandorska ,dolnośląskie,53-344,147,51.09318,17.02534,0
16,POP-WRO123,BRICOMARCHE,Wrocław ,wroclaw,Królewiecka,dolnośląskie,54-117,72,51.15722,16.92233,0
17,POP-WRO124,FURGONETKA,Wrocław ,wroclaw,Kniaziewicza,dolnośląskie,50-454,5A,51.10204051216,17.040734359117,0
18,POP-WRO126,AGENCJA OPŁAT,Wrocław,wroclaw,Kozia,dolnośląskie,54-104,3A,51.158541725621,16.927707050152,0
19,POP-WRO128,DORABIANIE KLUCZY SEBKEY,Wrocław,wroclaw,Buforowa,dolnośląskie,52-131,100,51.050905103165,17.059692859043,0
20,POP-WRO133,ARNO DORABIANIE KLUCZY(TARASY GRABISZYŃSKIE),Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-110,240,51.09435,16.98156,0
21,POP-WRO134,SKLEP SPOŻYWCZY ,Wrocław ,wroclaw,Balzaka,dolnośląskie,52-437,95 A,51.077856362666,16.956937219984,0
22,POP-WRO135,SKLEP PAPIERNICZY EMA,Wrocław,wroclaw,Słowicza,dolnośląskie,53-320,17,51.08812,17.00822,0
23,POP-WRO141,SERWIS FIXER,Wrocław ,wroclaw,Piłsudskiego ,dolnośląskie,50-032,46,51.101790597884,17.027980853394,0
24,POP-WRO144,SKLEP U POLAKÓW,Wrocław,wroclaw,Jerzmanowska,dolnośląskie,54-530,102,51.12043,16.87299,0
25,POP-WRO145,AGENCJA OPŁAT EXPERT (STOISKO 75),Wrocław,wroclaw,Świeradowska,dolnośląskie,50-559,70,51.077347075252,17.047798682936,0
26,POP-WRO146,MAIL BOXES ETC. ,Wrocław,wroclaw,Dokerska,dolnośląskie,54-142,7C,51.1391,16.96571,0
27,POP-WRO147,BARBERCOMPANY SKLEP,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-601,25,51.10619,17.01664,0
28,POP-WRO148,VISVITALIS ZDROWA ŻYWNOŚĆ,Wrocław,wroclaw,Trawowa,dolnośląskie,54-614,55A,51.0996102,16.9508281,0
29,POP-WRO151,EUROSPAR C.H. FERIO GAJ,Wrocław,wroclaw,Świeradowska,dolnośląskie,50-559,51-57,51.07638,17.04233,0
30,POP-WRO152,EUROSPAR C.H. FAMILY POINT,Wrocław,wroclaw,Krakowska,dolnośląskie,50-424,51/69,51.09071,17.06247,0
31,POP-WRO153,EUROSPAR C.H. ARKADY,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-333,2-4,51.09914,17.02838,0
32,POP-WRO154,NETTO,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,42,51.14705,17.12378,0
33,POP-WRO155,NETTO,Wrocław,wroclaw,Nowodworska,dolnośląskie,54-433,17A,51.11487,16.96544,0
34,POP-WRO156,NETTO,Wrocław,wroclaw,Stryjska,dolnośląskie,54-614,2,51.09736,16.95197,0
35,POP-WRO159,SALONIK PRASOWY MÓJ KIOSK,Wrocław ,wroclaw,Olszewskiego,dolnośląskie,51-644,128,51.10155,17.1092,0
36,POP-WRO160,SKLEP PETICO,Wrocław,wroclaw,Warmińska,dolnośląskie,54-110,20,51.14697,16.94129,0
37,POP-WRO162,STACJA CIRCLE K,Wrocław ,wroclaw,Dmowskiego ,dolnośląskie,50-203,5,51.11715,17.02137,0
38,POP-WRO164,STACJA CIRCLE K,Wrocław,wroclaw,Dyrekcyjna,dolnośląskie,50-086,30,51.09616,17.03986,0
39,POP-WRO165,STACJA CIRCLE K,Wrocław ,wroclaw,Braniborska,dolnośląskie,53-680,84,51.11184,17.00619,0
40,POP-WRO166,STACJA CIRCLE K,Wrocław ,wroclaw,Karkonoska,dolnośląskie,53-015,52,51.0624,17.00112,0
41,POP-WRO167,SALONIK PRASOWY MÓJ KIOSK ,Wrocław ,wroclaw,Olszewskiego ,dolnośląskie,51-642,71,51.10173,17.10227,0
42,POP-WRO168,SKLEP MOMAZU,Wrocław ,wroclaw,Małopolska ,dolnośląskie,54-032,36A,51.138940275043,16.89267036055,0
43,POP-WRO169,SKLEP PRZYSTANEK,Wrocław,wroclaw,Zachodnia ,dolnośląskie,53-643,1K,51.1155,17.01586,0
44,POP-WRO171,SKLEP SPOŻYWCZY BMB,Wrocław ,wroclaw,Czajkowskiego ,dolnośląskie,51-171,43B,51.13978847195,17.066082933002,0
45,POP-WRO172,KIOSK ROMA,Wrocław ,wroclaw,Sienkiewicza ,dolnośląskie,50-347,144,51.11535,17.06651,0
46,POP-WRO173,SKLEP POMADE FREAKS,Wrocław ,wroclaw,Jedności Narodowej,dolnośląskie,50-261,64,51.11938,17.03863,0
47,POP-WRO174,SKLEP PAPIERNICZY KREDKA ,Wrocław ,wroclaw,Inflancka,dolnośląskie,51-354,4,51.14488,17.13204,0
48,POP-WRO175,KIOSK W BIAŁYM PAWILONIE,Wrocław,wroclaw,Krynicka,dolnośląskie,50-555,1 PAW. 5,51.08238,17.04552,0
49,POP-WRO177,UNILINK UBEZPIECZENIA ,Wrocław ,wroclaw,Dolnobrzeska,dolnośląskie,54-072,46F/LU2,51.150494813919,16.856994152069,0
50,POP-WRO178,KSIĘGARNIA KWANT,Wrocław ,wroclaw,Prądzyńskiego ,dolnośląskie,50-434,4 LOK. 2,51.101328710503,17.051992993533,0
51,POP-WRO180,JASNY GWINT,Wrocław ,wroclaw,Legnicka,dolnośląskie,53-671,21,51.11283,17.0171,0
52,POP-WRO181,HAPPY PACK SKLEP ANIMATORA,Wrocław,wroclaw,Borowska,dolnośląskie,50-532,186 A,51.07755,17.03419,0
53,POP-WRO182,DUŻY BEN,Wrocław,wroclaw,Litewska,dolnośląskie,51-354,14F,51.14227,17.13035,0
54,POP-WRO183,DUŻY BEN,Wrocław ,wroclaw,Krzywoustego,dolnośląskie,51-310,319A,51.14675,17.11393,0
55,POP-WRO184,DUŻY BEN,Wrocław,wroclaw,Wojaczka,dolnośląskie,51-169,1/1B,51.14663,17.07083,0
56,POP-WRO185,DUŻY BEN,Wrocław,wroclaw,Kamieńskiego,dolnośląskie,51-001,213/U3,51.15462,17.0421,0
57,POP-WRO186,DUŻY BEN,Wrocław,wroclaw,Polaka,dolnośląskie,50-379,14. 14A. 14B   / U1,51.11162,17.05528,0
58,POP-WRO187,DUŻY BEN,Wrocław,wroclaw,Bulwar Ikara,dolnośląskie,54-130,17/1C,51.12593,16.97099,0
59,POP-WRO188,DUŻY BEN,Wrocław,wroclaw,Sienkiewicza ,dolnośląskie,50-346,131,51.11498,17.06679,0
60,POP-WRO189,DUŻY BEN,Wrocław,wroclaw,Bacciarellego,dolnośląskie,51-649,8A/1,51.10466,17.11358,0
61,POP-WRO190,DUŻY BEN,Wrocław ,wroclaw,Al. Architektów,dolnośląskie,54-115,14D,51.13632,16.92841,0
62,POP-WRO191,DUŻY BEN,Wrocław,wroclaw,Legnicka,dolnośląskie,53-672,33A/U4,51.11901,16.99527,0
63,POP-WRO192,DUŻY BEN,Wrocław ,wroclaw,Sienkiewicza,dolnośląskie,50-348,89,51.11601,17.0574,0
64,POP-WRO193,DUŻY BEN,Wrocław,wroclaw,Vespucciego,dolnośląskie,51-505,26A,51.10682,17.1234,0
65,POP-WRO194,DUŻY BEN,Wrocław ,wroclaw,Legnicka ,dolnośląskie,54-203,57J,51.1247,16.98789,0
66,POP-WRO195,DUŻY BEN,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-601,83A,51.10444,17.00709,0
67,POP-WRO196,DUŻY BEN,Wrocław ,wroclaw,Popowicka,dolnośląskie,54-236,97,51.12936,16.98879,0
68,POP-WRO197,DUŻY BEN,Wrocław,wroclaw,Magellana,dolnośląskie,51-505,24A,51.11122,17.12206,0
69,POP-WRO198,DUŻY BEN,Wrocław,wroclaw,Wyszyńskiego,dolnośląskie,50-330,45D,51.11752,17.05161,0
70,POP-WRO199,DUŻY BEN,Wrocław,wroclaw,Prusa,dolnośląskie,50-319,21,51.11963,17.0493,0
71,POP-WRO200,DUŻY BEN,Wrocław,wroclaw,Dziadoszańska,dolnośląskie,54-153,50A,51.13663,16.97985,0
