id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
79,POP-WRO218,DUŻY BEN,Wrocław ,wroclaw,Gajowa,dolnośląskie,50-520,25,51.09196,17.0403,0
80,POP-WRO219,DUŻY BEN,Wrocław ,wroclaw,Piłsudskiego,dolnośląskie,50-017,96/1A,51.100193851263,17.035358334625,0
81,POP-WRO220,SZYBKIE ZAKUPY,Wrocław,wroclaw,Wincentego Stysia,dolnośląskie,53-525,41,51.099574966549,17.018596106426,0
82,POP-WRO221,DUŻY BEN,Wrocław,wroclaw,Wojanowska,dolnośląskie,54-050,5,51.15457,16.89904,0
83,POP-WRO222,DUŻY BEN,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-439,122B,51.09978,17.04631,0
84,POP-WRO223,DUŻY BEN,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-602,22,51.10675,17.01907,0
85,POP-WRO224,DUŻY BEN,Wrocław,wroclaw,Stalowa,dolnośląskie,53-440,63/LU1B,51.10157,17.00014,0
86,POP-WRO225,DUŻY BEN,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-236,287,51.09431,16.97829,0
87,POP-WRO227,PUNKT OPŁAT. KSERO. PIECZĄTKI,Wrocław,wroclaw,Kotlarska,dolnośląskie,50-150,2A,51.111461003621,17.034496307373,0
88,POP-WRO228,HAPPY PACK-SKLEP ZE ZDROWĄ ŻYWNOŚCIĄ,Wrocław,wroclaw,Żelazna,dolnośląskie,53-428,52,51.098754021302,17.005826130283,0
89,POP-WRO229,HAPPY PACK-SKLEP Z BALONAMI,Wrocław,wroclaw,Cukrowa,dolnośląskie,52-316,13/20,51.063147226969,16.978410720825,0
90,POP-WRO230,SERWIS FREZAREK,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-439,152B,51.099250510802,17.049768107717,0
91,POP-WRO231,HAPPY PACK-CENTRUM WYSYŁEK,Wrocław,wroclaw,Świeradowska,dolnośląskie,50-559,47 B,51.076742891432,17.040212558844,0
92,POP-WRO232,A-HOBBY ELEKTRONIK,Wrocław,wroclaw,Krasińskiego,dolnośląskie,50-450,32,51.10619,17.0436,0
93,POP-WRO25,FIRMA HANDLOWA BAKARD,Wrocław,wroclaw,Boguszowska,dolnośląskie,54-046,82,51.150467,16.892196,0
94,POP-WRO30,SALONIK PRASOWY,Wrocław,wroclaw,Główna,dolnośląskie,54-061,69,51.16102,16.90586,0
95,POP-WRO47,MBE MAIL BOX,Wrocław,wroclaw,Krakowska,dolnośląskie,50-428,141/155,51.08253,17.07546,0
96,POP-WRO60,KWIACIARNIA,Wrocław,wroclaw,Bajana,dolnośląskie,54-129,43/1F,51.12764,16.96183,0
97,POP-WRO85,MAIL BOXES,Wrocław,wroclaw,Jedności Narodowej,dolnośląskie,50-262,79,51.12068,17.04194,0
98,POP-WRO95,SKLEP SPOŻYWCZO PRZEMYSŁOWY,Wrocław,wroclaw,Balzaka,dolnośląskie,52-437,22A,51.07643,16.95967,0
99,POP-WRP95,EUROSPAR SKY TOWER,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-332,95,51.09462,17.02068,0
100,WRO01APP,Obok kawiarni,Wrocław,wroclaw,Kominiarska,dolnośląskie,51-180,97,51.17714,17.01551,0
101,WRO01F,Przy Vege Boxie,Wrocław,wroclaw,Bierutowska,dolnośląskie,51-317,57-59,51.15118,17.12698,0
102,WRO01H,W lokalu użytkowym,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-437,141,51.09972,17.00039,0
103,WRO01HO,W środku Hali Targowej. obok sklepu rybnego "Tradycja i Jakość",Wrocław,wroclaw,Piaskowa,dolnośląskie,50-158,17,51.1123,17.04064,0
104,WRO01HP,W sklepie Duży Ben,Wrocław,wroclaw,Sienkiewicza,dolnośląskie,50-346,131,51.11498,17.06679,0
105,WRO01L,Stacja paliw BP,Wrocław,wroclaw,Krakowska,dolnośląskie,50-425,6/7,51.09574,17.0562,0
106,WRO01M,Po lewej stronie od wejścia do budynku stacji paliw Pieprzyk,Wrocław,wroclaw,Armii Krajowej,dolnośląskie,50-541,49,51.0828,17.0596,0
